0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0,0.083,0.083,0.083,0.083,0
0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25
